map,n_parcels,n_detected,detection_rate,agreement_rate,n_valid,valid_rate,n_buildings,elapsed
43,222,8,0.036,0.0,0,0.0,80,251.0
44,93,1,0.011,0.0,0,0.0,14,109.8
45,388,29,0.075,0.0,0,0.0,134,366.3
46,106,2,0.019,0.0,0,0.0,281,151.7
47,676,26,0.038,0.0,0,0.0,191,625.8
48,660,16,0.024,0.0,0,0.0,252,625.3
49,930,45,0.048,0.0,0,0.0,769,1132.6
50,161,5,0.031,0.0,0,0.0,314,175.8
51,692,17,0.025,0.0,0,0.0,341,609.3
52,414,24,0.058,0.0,0,0.0,309,467.8
53,607,16,0.026,0.0,0,0.0,222,506.0
54,386,11,0.028,0.0,0,0.0,63,282.1
55,859,22,0.026,0.0,0,0.0,450,645.6
