parcel_id,detected_number,cx,cy,confidence,validation,area_px,tess_number,tess_conf,easy_number,easy_conf
,,2584.157630848032,6184.5245464055115,0.0,NO_NUMBER,4620.5,,0.83,,0.0
,,3411.4687950512434,6178.167990354119,0.0,NO_NUMBER,6358.5,,0.89,,0.0
,,5539.677362388377,6161.671614687458,0.0,NO_NUMBER,10004.0,,0.02,,0.0
,,7302.180686370034,6132.17159250839,0.0,NO_NUMBER,4618.5,,0.17,,0.0
,,2989.4679327521794,5998.813719385636,0.0,NO_NUMBER,1606.0,,0.0,,0.0
,,3381.03650990099,5968.396864686468,0.0,NO_NUMBER,808.0,,0.0,,0.0
,,3740.882581271227,5855.755767279784,0.0,NO_NUMBER,3778.5,,0.39,,0.0
,,7401.996420464467,5937.354548629299,0.0,NO_NUMBER,1909.0,,0.83,,0.0
,,6417.5213815789475,5798.100877192983,0.0,NO_NUMBER,912.0,,0.0,,0.0
,,4269.770209649363,5777.495651377826,0.0,NO_NUMBER,1820.5,,0.0,,0.0
,,7511.138767940654,5837.348411546524,0.0,NO_NUMBER,2067.0,,0.0,,0.0
,,5151.451664277751,5797.3540372670805,0.0,NO_NUMBER,1046.5,,0.0,,0.0
,,7285.224310363776,5760.571491372678,0.0,NO_NUMBER,1516.5,,0.36,,0.0
,,2952.056354226567,5767.405980448533,0.0,NO_NUMBER,869.5,,0.59,,0.0
,,2981.027484498072,5780.336182336182,0.0,NO_NUMBER,994.5,,0.14,,0.0
,,1476.1193907799243,5710.376264949402,0.0,NO_NUMBER,1630.5,,0.0,,0.0
,,4152.911755075311,5738.173379174853,0.0,NO_NUMBER,1018.0,,0.0,,0.0
,,6098.531209957898,5731.210873146622,0.0,NO_NUMBER,910.5,,0.0,,0.0
,,6017.170205594876,5736.2131782945735,0.0,NO_NUMBER,989.0,,0.0,,0.0
,,7085.890013198416,5676.915823434521,0.0,NO_NUMBER,1136.5,,0.79,,0.0
,,1422.4651431209602,5666.413896583565,0.0,NO_NUMBER,2166.0,,0.0,,0.0
,,3335.356223583606,5770.857149641449,0.0,NO_NUMBER,3509.5,,0.25,,0.0
,,4795.343530288214,5657.908739581878,0.0,NO_NUMBER,3579.5,,0.0,,0.0
,,7072.124796084829,5605.431076672105,0.0,NO_NUMBER,1226.0,,0.3,,0.0
,,5189.214691943128,5551.182780410742,0.0,NO_NUMBER,1055.0,,0.0,,0.0
,,1325.2354758682905,5558.742918358142,0.0,NO_NUMBER,7390.0,,0.09,,0.0
,,6123.509903270382,5492.356671272838,0.0,NO_NUMBER,1085.5,,0.0,,0.0
,,2860.8359219434487,5495.97670250896,0.0,NO_NUMBER,837.0,,0.0,,0.0
,,6024.8242300987795,5511.012686422622,0.0,NO_NUMBER,1721.0,,0.0,,0.0
,,3619.877059986816,5519.281696330477,0.0,NO_NUMBER,1517.0,,0.0,,0.0
,,4304.842381937263,5545.057566356428,0.0,NO_NUMBER,1934.0,,0.6,,0.0
,,6510.55859126804,5665.273002329733,0.0,NO_NUMBER,5508.5,,0.85,,0.0
,,6236.731693231693,5411.359436359436,0.0,NO_NUMBER,1443.0,,0.0,,0.0
,,4212.857587064676,5411.387748756219,0.0,NO_NUMBER,1072.0,,0.0,,0.0
,,2979.553854207564,5447.14225886664,0.0,NO_NUMBER,1273.5,,0.0,,0.0
,,3023.4489554100405,5462.94137823511,0.0,NO_NUMBER,2672.5,,0.91,,0.0
,,3752.2190422745975,5398.103628881407,0.0,NO_NUMBER,891.0,,0.48,,0.0
,,5484.949119496855,5429.704339622642,0.0,NO_NUMBER,2650.0,,0.74,,0.0
,,6675.730496453901,5357.222452862826,0.0,NO_NUMBER,963.5,,0.0,,0.0
,,5793.026842324082,5630.891357447251,0.0,NO_NUMBER,6414.0,,0.9,,0.0
,,5917.598817398275,5372.133393465624,0.0,NO_NUMBER,1663.0,,0.21,,0.0
,,5879.508293204923,5312.308007847333,0.0,NO_NUMBER,934.5,,0.0,,0.0
,,4011.6278998778994,5349.779151404151,0.0,NO_NUMBER,1092.0,,0.0,,0.0
,,6752.369957805907,5319.368101265823,0.0,NO_NUMBER,987.5,,0.08,,0.0
,,3214.6657303370785,5309.054151061173,0.0,NO_NUMBER,1068.0,,0.0,,0.0
,,3990.321742453191,5263.382626417017,0.0,NO_NUMBER,1308.5,,0.0,,0.0
,,6897.341098987516,5235.253317605426,0.0,NO_NUMBER,1695.5,,0.26,,0.0
,,4565.09747755451,5215.6411571896815,0.0,NO_NUMBER,1169.5,,0.0,,0.0
,,5289.8891060087935,5165.936166748086,0.0,NO_NUMBER,1023.5,,0.0,,0.0
,,4194.22339869281,5126.704444444444,0.0,NO_NUMBER,1275.0,,0.09,,0.0
,,6237.369853144915,5141.890163480188,0.0,NO_NUMBER,3007.5,,0.38,,0.0
,,6465.165128052412,5215.848123883264,0.0,NO_NUMBER,3358.0,,0.86,,0.0
,,3236.9809837728194,5123.24323867478,0.0,NO_NUMBER,1972.0,,0.0,,0.0
,,3190.475476587081,5059.079400333148,0.0,NO_NUMBER,900.5,,0.0,,0.0
,,6943.895020995801,5002.903019396121,0.0,NO_NUMBER,833.5,,0.77,,0.0
,,7046.854264894985,5026.360337191027,0.0,NO_NUMBER,1166.5,,0.71,,0.0
,,5841.5828181728975,5103.396330095182,0.0,NO_NUMBER,3397.0,,0.58,,0.0
,,4295.109796497871,4974.825209023505,0.0,NO_NUMBER,1056.5,,0.0,,0.0
,,4705.551175958188,4999.249419279907,0.0,NO_NUMBER,2296.0,,0.2,,0.0
,,3242.054623231326,4896.377426785127,0.0,NO_NUMBER,1013.0,,0.0,,0.0
,,6350.215137224078,4985.576373878299,0.0,NO_NUMBER,5089.0,,0.76,,0.0
,,1168.6557343234322,4809.989892739273,0.0,NO_NUMBER,808.0,,0.0,,0.0
,,4602.208662800913,4822.603145317167,0.0,NO_NUMBER,1897.0,,0.45,,0.0
,,4831.699898141074,4770.996307613954,0.0,NO_NUMBER,1309.0,,0.0,,0.0
,,4607.82012012012,4720.956656656656,0.0,NO_NUMBER,1665.0,,0.59,,0.0
,,6419.995986353601,4693.555488661448,0.0,NO_NUMBER,830.5,,0.0,,0.0
,,6345.221675886089,4700.076623642696,0.0,NO_NUMBER,813.5,,0.0,,0.0
,,4825.017637732857,4682.983551327784,0.0,NO_NUMBER,841.0,,0.0,,0.0
,,6776.508880431335,4698.678401522359,0.0,NO_NUMBER,1051.0,,0.0,,0.0
,,4979.478671196678,4655.517302126588,0.0,NO_NUMBER,1324.5,,0.0,,0.0
