parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
0,1249,5768,134,68,1315,5797,1014.5,,0.0,UNKNOWN,,,
1,1227,5747,124,33,1279,5758,865.5,,0.0,UNKNOWN,,,
2,1042,5733,112,31,1092,5744,834.0,,0.0,UNKNOWN,,,
3,1575,5728,92,24,1616,5737,531.5,,0.0,UNKNOWN,,,
4,1871,5715,135,94,1934,5767,1264.5,,0.0,UNKNOWN,,,
5,1504,5706,159,30,1577,5717,846.0,,0.0,UNKNOWN,,,
6,1417,5706,90,54,1461,5731,627.0,,0.0,UNKNOWN,,,
7,1197,5669,56,41,1223,5692,554.0,,0.0,UNKNOWN,,,
8,1472,5663,81,28,1511,5676,1522.5,,0.0,UNKNOWN,,,
9,1312,5656,84,34,1345,5666,562.0,,0.0,UNKNOWN,,,
10,1022,5649,94,27,1072,5658,644.5,,0.0,UNKNOWN,,,
11,1788,5638,87,74,1832,5671,1294.0,,0.0,UNKNOWN,,,
12,1139,5620,104,52,1185,5641,1241.0,,0.0,UNKNOWN,,,
13,991,5615,84,25,1033,5625,559.5,,0.0,UNKNOWN,,,
14,1518,5606,69,37,1549,5622,656.0,,0.0,UNKNOWN,,,
15,1332,5596,48,49,1356,5622,802.0,,0.0,UNKNOWN,,,
16,1751,5573,65,67,1787,5600,634.0,,0.0,UNKNOWN,,,
17,961,5561,75,30,990,5579,598.0,,0.0,UNKNOWN,,,
18,1120,5551,91,49,1172,5576,1578.5,,0.0,UNKNOWN,,,
19,1492,5548,41,45,1511,5572,843.0,,0.0,UNKNOWN,,,
20,1042,5542,95,40,1086,5561,775.5,,0.0,UNKNOWN,,,
21,8088,5537,110,54,8134,5564,679.0,,0.0,UNKNOWN,,,
22,2648,5526,92,22,2701,5540,527.0,,0.0,UNKNOWN,,,
23,797,5525,98,52,843,5544,558.5,,0.0,UNKNOWN,,,
24,1685,5524,62,57,1713,5549,753.5,,0.0,UNKNOWN,,,
25,7832,5496,302,197,7978,5592,1892.5,,0.0,UNKNOWN,,,
26,1251,5495,66,63,1281,5525,622.5,,0.0,UNKNOWN,,,
27,1058,5483,115,46,1109,5501,1068.0,,0.0,UNKNOWN,,,
28,7647,5462,40,74,7665,5495,784.5,,0.0,UNKNOWN,,,
29,8191,5458,53,37,8217,5475,1514.5,0,0.592,INVALID,,0,
30,2603,5456,105,24,2666,5469,614.5,,0.0,UNKNOWN,,,
31,1588,5451,106,38,1640,5466,671.5,,0.0,UNKNOWN,,,
32,1184,5451,63,23,1214,5459,531.0,,0.0,UNKNOWN,,,
33,1701,5448,81,43,1743,5468,772.0,,0.0,UNKNOWN,,,
34,1333,5439,121,50,1388,5460,941.0,,0.0,UNKNOWN,,,
35,7591,5436,48,32,7611,5453,965.5,,0.0,UNKNOWN,,,
36,2435,5432,228,25,2532,5441,1018.0,,0.0,UNKNOWN,,,
37,995,5419,71,81,1029,5456,1174.0,,0.0,UNKNOWN,,,
38,1593,5404,85,35,1634,5419,650.5,,0.0,UNKNOWN,,,
39,1309,5398,180,65,1386,5422,1438.0,,0.0,UNKNOWN,,,
40,1151,5389,78,63,1190,5423,932.5,,0.0,UNKNOWN,,,
41,1765,5367,139,55,1830,5390,849.0,,0.0,UNKNOWN,,,
42,1300,5336,56,52,1330,5362,619.5,,0.0,UNKNOWN,,,
43,1068,5329,134,48,1133,5347,1090.0,,0.0,UNKNOWN,,,
44,1208,5323,77,36,1243,5336,509.0,,0.0,UNKNOWN,,,
45,7513,5318,60,30,7549,5337,538.5,,0.0,UNKNOWN,,,
46,2402,5294,120,73,2466,5331,1415.0,,0.0,UNKNOWN,,,
47,1487,5294,59,63,1515,5329,805.0,,0.0,UNKNOWN,,,
48,7840,5279,75,63,7876,5310,2762.5,,0.0,UNKNOWN,,,
49,1400,5269,130,53,1451,5294,1033.0,,0.0,UNKNOWN,,,
50,1232,5268,74,37,1263,5286,569.0,,0.0,UNKNOWN,,,
51,1141,5268,64,45,1169,5289,514.5,,0.0,UNKNOWN,,,
52,2110,5264,97,70,2164,5302,583.5,,0.0,UNKNOWN,,,
53,1021,5248,54,74,1047,5289,528.5,,0.0,UNKNOWN,,,
54,1778,5232,64,34,1803,5248,1070.5,,0.0,UNKNOWN,,,
55,8105,5231,119,191,8157,5324,1202.5,,0.0,UNKNOWN,,,
56,1410,5226,100,37,1456,5240,780.0,,0.0,UNKNOWN,,,
57,7770,5223,88,145,7806,5294,924.0,,0.0,UNKNOWN,,,
58,1123,5214,213,64,1217,5237,1762.0,,0.0,UNKNOWN,,,
59,905,5213,78,86,947,5256,784.0,,0.0,UNKNOWN,,,
60,1590,5207,79,30,1625,5218,576.0,,0.0,UNKNOWN,,,
61,1966,5203,23,113,1975,5257,601.5,,0.0,UNKNOWN,,,
62,1749,5181,55,42,1777,5203,686.5,,0.0,UNKNOWN,,,
63,1566,5180,97,36,1611,5193,760.5,,0.0,UNKNOWN,,,
64,8633,5165,99,53,8678,5187,537.0,,0.0,UNKNOWN,,,
65,1278,5165,110,33,1330,5179,945.5,,0.0,UNKNOWN,,,
66,7136,5156,102,71,7189,5204,800.5,,0.0,UNKNOWN,,,
67,7966,5148,88,40,8005,5163,785.0,,0.0,UNKNOWN,,,
68,4110,5143,59,96,4148,5191,757.0,,0.0,UNKNOWN,,,
69,1352,5141,164,92,1430,5177,1600.5,,0.0,UNKNOWN,,,
70,7219,5134,85,80,7270,5178,799.0,,0.0,UNKNOWN,,,
71,3855,5127,161,90,3929,5186,3272.5,,0.0,UNKNOWN,,,
72,1685,5127,93,32,1725,5138,660.5,,0.0,UNKNOWN,,,
73,7306,5123,59,79,7341,5166,676.0,,0.0,UNKNOWN,,,
74,6936,5116,82,77,6974,5154,738.5,,0.0,UNKNOWN,,,
75,4004,5116,106,130,4065,5183,1558.0,,0.0,UNKNOWN,,,
76,4572,5104,241,59,4696,5134,1013.0,,0.0,UNKNOWN,,,
77,4704,5099,162,40,4783,5118,989.5,,0.0,UNKNOWN,,,
78,1234,5092,154,68,1297,5117,1234.5,,0.0,UNKNOWN,,,
79,7841,5090,58,42,7869,5110,1894.5,0,0.626,INVALID,,0,
80,7527,5088,226,134,7648,5155,1507.5,,0.0,UNKNOWN,,,
81,1489,5082,37,41,1506,5101,514.5,,0.0,UNKNOWN,,,
82,1633,5073,102,36,1680,5087,836.0,,0.0,UNKNOWN,,,
83,7763,5067,58,47,7786,5092,729.5,,0.0,UNKNOWN,,,
84,4456,5033,246,69,4571,5067,1411.0,,0.0,UNKNOWN,,,
85,4245,5025,296,72,4388,5059,1746.0,,0.0,UNKNOWN,,,
86,7138,5022,214,46,7239,5042,1272.5,,0.0,UNKNOWN,,,
87,1594,5002,38,66,1606,5040,531.0,,0.0,UNKNOWN,,,
88,4094,4993,105,30,4142,5005,697.0,,0.0,UNKNOWN,,,
89,1347,4992,160,50,1424,5010,1283.5,,0.0,UNKNOWN,,,
90,4139,4947,313,90,4298,4990,1994.0,,0.0,UNKNOWN,,,
91,3890,4937,162,48,3977,4961,1101.5,,0.0,UNKNOWN,,,
92,838,4923,553,490,1115,5171,5369.0,,0.0,UNKNOWN,,,
93,7048,4915,55,45,7069,4932,635.5,,0.0,UNKNOWN,,,
94,6975,4898,281,161,7108,4982,2104.0,,0.0,UNKNOWN,,,
95,7560,4893,772,104,7942,4963,4530.5,,0.0,UNKNOWN,,,
96,7036,4892,456,189,7256,4968,2699.5,,0.0,UNKNOWN,,,
97,3916,4883,152,48,3994,4909,853.5,,0.0,UNKNOWN,,,
98,7680,4881,581,81,7984,4933,3753.0,,0.0,UNKNOWN,,,
99,2729,4849,115,22,2790,4858,709.5,,0.0,UNKNOWN,,,
100,7301,4820,255,56,7445,4840,1409.0,,0.0,UNKNOWN,,,
101,2900,4815,266,34,3033,4834,1981.0,,0.0,UNKNOWN,,,
102,3172,4810,673,116,3509,4852,4721.0,,0.0,UNKNOWN,,,
103,7445,4797,104,41,7493,4817,558.0,,0.0,UNKNOWN,,,
104,6611,4796,99,41,6664,4813,754.0,,0.0,UNKNOWN,,,
105,2587,4783,131,136,2650,4847,1251.0,,0.0,UNKNOWN,,,
106,7490,4745,104,35,7541,4761,539.5,,0.0,UNKNOWN,,,
107,3188,4723,710,167,3546,4787,5991.5,,0.0,UNKNOWN,,,
108,2873,4723,224,104,2984,4779,2044.5,,0.0,UNKNOWN,,,
109,3919,4719,131,97,3978,4765,615.5,,0.0,UNKNOWN,,,
110,6792,4709,45,39,6815,4727,507.0,,0.0,UNKNOWN,,,
111,3972,4703,153,95,4047,4748,1099.5,,0.0,UNKNOWN,,,
112,7863,4695,67,93,7908,4741,1220.5,,0.0,UNKNOWN,,,
113,3161,4668,26,79,3174,4709,535.5,,0.0,UNKNOWN,,,
114,6686,4654,80,131,6723,4715,1071.0,,0.0,UNKNOWN,,,
115,7466,4642,104,24,7524,4653,717.0,,0.0,UNKNOWN,,,
116,7154,4642,143,67,7220,4675,740.0,,0.0,UNKNOWN,,,
117,4105,4642,80,94,4148,4686,647.0,,0.0,UNKNOWN,,,
118,2445,4640,138,140,2517,4713,1306.5,,0.0,UNKNOWN,,,
119,7338,4633,68,40,7370,4648,596.5,,0.0,UNKNOWN,,,
120,6660,4631,76,108,6699,4687,876.5,,0.0,UNKNOWN,,,
121,7162,4598,190,37,7262,4624,1150.0,,0.0,UNKNOWN,,,
122,7696,4595,49,86,7712,4643,996.0,,0.0,UNKNOWN,,,
123,6412,4560,49,46,6438,4581,773.5,,0.0,UNKNOWN,,,
124,6380,4554,279,193,6535,4640,2984.0,,0.0,UNKNOWN,,,
125,2004,4548,383,72,2181,4596,3016.5,,0.0,UNKNOWN,,,
126,7372,4542,89,59,7416,4571,620.5,,0.0,UNKNOWN,,,
127,6776,4537,602,85,7083,4592,3779.5,,0.0,UNKNOWN,,,
128,6741,4534,79,72,6776,4571,521.0,,0.0,UNKNOWN,,,
129,6814,4529,111,29,6875,4540,743.5,,0.0,UNKNOWN,,,
130,3097,4526,112,194,3154,4627,1802.5,,0.0,UNKNOWN,,,
131,6932,4522,60,52,6966,4544,714.5,,0.0,UNKNOWN,,,
132,6283,4521,210,92,6373,4557,1866.0,,0.0,UNKNOWN,,,
133,3709,4519,50,44,3725,4537,536.5,,0.0,UNKNOWN,,,
134,7005,4518,50,41,7026,4537,702.0,,0.0,UNKNOWN,,,
135,7087,4510,51,58,7108,4538,699.0,,0.0,UNKNOWN,,,
136,1337,4504,66,77,1363,4546,1030.0,4,0.453,INVALID,,4,
137,6165,4490,116,65,6221,4523,835.5,,0.0,UNKNOWN,,,
138,4016,4477,98,123,4059,4542,1210.5,,0.0,UNKNOWN,,,
139,6802,4475,36,31,6819,4489,694.0,,0.0,UNKNOWN,,,
140,6952,4457,56,64,6981,4487,534.5,,0.0,UNKNOWN,,,
141,6848,4456,48,37,6865,4472,593.5,,0.0,UNKNOWN,,,
142,5097,4454,158,118,5175,4518,1135.5,,0.0,UNKNOWN,,,
143,7012,4436,228,135,7136,4506,1498.0,,0.0,UNKNOWN,,,
144,5839,4436,317,114,5989,4490,2263.5,,0.0,UNKNOWN,,,
145,1770,4428,78,25,1805,4439,545.5,,0.0,UNKNOWN,,,
146,5701,4424,120,25,5762,4437,702.5,,0.0,UNKNOWN,,,
147,6724,4422,125,122,6788,4482,1204.0,,0.0,UNKNOWN,,,
148,3187,4419,101,225,3237,4533,1561.5,,0.0,UNKNOWN,,,
149,7388,4417,240,140,7504,4486,1279.0,,0.0,UNKNOWN,,,
