id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
0,964.0,1.8e-05,6123,6438,5972,6435,282,8,35.25,594.5,0.545,0.034
1,1299.5,2.4e-05,8108,6437,7961,6433,303,10,30.3,660.4,0.55,0.037
2,800.5,1.5e-05,6469,6436,6381,6430,175,13,13.462,374.6,0.57,0.072
3,6631.5,0.000124,7315,6435,6679,6391,1284,52,24.692,2873.3,0.162,0.01
4,632.0,1.2e-05,8307,6246,8303,6168,9,155,0.058,338.0,0.574,0.07
5,533.0,1e-05,5569,6168,5529,6146,85,38,2.237,234.8,0.372,0.121
6,543.0,1e-05,6979,6131,6930,6110,95,31,3.065,232.2,0.345,0.127
7,516.5,1e-05,5720,6145,5691,6105,57,74,0.77,203.5,0.573,0.157
8,607.0,1.1e-05,7201,6089,7182,6045,33,88,0.375,209.7,0.498,0.173
9,699.0,1.3e-05,7068,6034,7033,5981,54,113,0.478,279.6,0.381,0.112
10,609.0,1.1e-05,2744,5986,2717,5929,59,119,0.496,297.6,0.547,0.086
11,512.0,1e-05,2532,5907,2501,5882,50,52,0.962,223.5,0.34,0.129
12,568.5,1.1e-05,2816,5907,2776,5855,77,117,0.658,312.6,0.455,0.073
13,1142.5,2.1e-05,6728,5850,6624,5821,210,52,4.038,484.1,0.433,0.061
14,607.0,1.1e-05,1346,5817,1287,5810,121,24,5.042,276.3,0.447,0.1
15,697.5,1.3e-05,7804,5828,7733,5801,146,60,2.433,344.6,0.595,0.074
16,961.0,1.8e-05,2666,5782,2576,5773,188,24,7.833,416.6,0.516,0.07
17,1372.5,2.6e-05,5506,5777,5391,5768,230,21,10.952,517.6,0.527,0.064
18,945.0,1.8e-05,2199,5780,2099,5760,206,47,4.383,464.0,0.545,0.055
19,927.0,1.7e-05,7071,5770,6993,5756,162,34,4.765,364.5,0.56,0.088
20,894.0,1.7e-05,7630,5775,7528,5754,203,49,4.143,456.9,0.492,0.054
21,1267.5,2.4e-05,7290,5747,7157,5740,265,21,12.619,573.7,0.497,0.048
22,737.0,1.4e-05,2934,5773,2902,5720,68,105,0.648,281.2,0.593,0.117
23,1101.5,2.1e-05,7822,5750,7716,5719,210,67,3.134,525.1,0.279,0.05
24,1005.0,1.9e-05,6859,5735,6745,5713,216,54,4.0,487.0,0.553,0.053
25,1438.0,2.7e-05,7098,5699,6967,5687,278,32,8.688,616.0,0.497,0.048
26,1317.5,2.5e-05,7488,5690,7360,5683,256,22,11.636,549.9,0.523,0.055
27,1650.0,3.1e-05,2926,5728,2853,5597,153,257,0.595,655.6,0.489,0.048
28,666.0,1.2e-05,7716,5647,7704,5585,27,127,0.213,296.5,0.488,0.095
29,559.5,1e-05,7345,5590,7319,5558,62,57,1.088,225.5,0.356,0.138
30,530.5,1e-05,3046,5589,3018,5549,62,78,0.795,218.0,0.654,0.14
31,733.5,1.4e-05,2849,5515,2760,5510,174,11,15.818,389.5,0.534,0.061
32,828.5,1.5e-05,2613,5517,2519,5503,186,25,7.44,415.7,0.46,0.06
33,1360.0,2.5e-05,7596,5485,7479,5466,247,40,6.175,554.2,0.543,0.056
34,556.5,1e-05,3080,5479,3042,5454,83,64,1.297,230.5,0.5,0.132
35,583.5,1.1e-05,1208,5462,1163,5431,94,72,1.306,263.1,0.493,0.106
36,982.5,1.8e-05,1239,5419,1160,5378,154,91,1.692,406.2,0.553,0.075
37,518.5,1e-05,6136,5406,6092,5375,80,68,1.176,237.7,0.429,0.115
38,644.0,1.2e-05,5876,5384,5822,5375,114,17,6.706,254.4,0.588,0.125
39,527.0,1e-05,1510,5380,1464,5373,97,17,5.706,226.2,0.627,0.129
40,529.5,1e-05,5759,5380,5705,5372,109,18,6.056,254.9,0.502,0.102
41,1244.5,2.3e-05,1745,5372,1631,5357,243,30,8.1,539.8,0.542,0.054
42,1433.5,2.7e-05,2034,5375,1873,5331,303,79,3.835,692.5,0.323,0.038
43,644.0,1.2e-05,2101,5331,2039,5305,128,51,2.51,305.9,0.506,0.086
44,520.0,1e-05,5533,5288,5527,5238,13,97,0.134,218.4,0.63,0.137
45,778.5,1.5e-05,2315,5207,2256,5184,130,51,2.549,310.0,0.515,0.102
46,541.5,1e-05,7170,5182,7130,5175,77,15,5.133,180.3,0.673,0.209
47,1837.0,3.4e-05,7767,5324,7731,5167,74,325,0.228,748.5,0.477,0.041
48,1112.0,2.1e-05,7362,5176,7277,5165,166,20,8.3,369.1,0.638,0.103
49,522.5,1e-05,2775,5186,2755,5152,48,74,0.649,233.4,0.384,0.121
50,582.0,1.1e-05,2482,5162,2426,5148,118,29,4.069,265.8,0.614,0.104
51,1719.0,3.2e-05,2382,5159,2222,5110,343,100,3.43,789.6,0.485,0.035
52,592.5,1.1e-05,2615,5129,2553,5109,126,41,3.073,295.5,0.581,0.085
53,757.0,1.4e-05,4353,5154,4313,5105,93,91,1.022,313.5,0.286,0.097
54,812.0,1.5e-05,7953,5116,7938,5101,33,32,1.031,110.1,0.968,0.842
55,773.5,1.4e-05,4409,5108,4369,5088,89,50,1.78,316.1,0.3,0.097
56,1695.0,3.2e-05,7580,5122,7466,5079,241,91,2.648,579.5,0.477,0.063
57,534.0,1e-05,7335,5089,7314,5072,44,36,1.222,222.5,0.48,0.136
58,544.0,1e-05,3054,5122,3042,5069,28,100,0.28,235.3,0.58,0.123
59,608.0,1.1e-05,2497,5033,2432,5019,137,24,5.708,309.1,0.425,0.08
60,774.5,1.4e-05,7584,5034,7507,5009,155,42,3.69,357.3,0.403,0.076
61,1409.5,2.6e-05,2902,5002,2793,4973,236,57,4.14,554.9,0.299,0.058
62,1540.5,2.9e-05,5541,5076,5525,4969,49,228,0.215,535.1,0.391,0.068
63,622.0,1.2e-05,1444,4989,1401,4967,94,37,2.541,260.9,0.31,0.115
64,2697.5,5e-05,1607,5044,1456,4935,306,218,1.404,839.6,0.611,0.048
65,641.5,1.2e-05,3614,4960,3567,4926,98,56,1.75,251.9,0.424,0.127
66,837.0,1.6e-05,1540,4938,1477,4912,110,44,2.5,280.6,0.326,0.134
67,1027.0,1.9e-05,2689,5000,2672,4909,38,187,0.203,427.1,0.543,0.071
68,571.0,1.1e-05,3322,4919,3281,4908,91,22,4.136,210.9,0.691,0.161
69,671.0,1.3e-05,7553,4898,7499,4892,111,16,6.938,252.4,0.567,0.132
70,717.0,1.3e-05,1882,4917,1832,4881,100,75,1.333,265.2,0.774,0.128
71,1034.0,1.9e-05,6199,4899,6151,4877,90,69,1.304,387.2,0.288,0.087
72,1771.0,3.3e-05,1389,4906,1358,4875,79,76,1.039,378.2,0.446,0.156
73,827.5,1.5e-05,2664,4933,2638,4872,52,115,0.452,321.8,0.456,0.1
74,731.0,1.4e-05,2780,4889,2722,4867,110,46,2.391,271.4,0.52,0.125
75,1003.5,1.9e-05,3812,4871,3715,4851,189,52,3.635,436.4,0.323,0.066
76,680.5,1.3e-05,1635,4873,1570,4846,112,44,2.545,284.7,0.292,0.106
77,1167.5,2.2e-05,3052,4860,2936,4837,231,47,4.915,515.1,0.511,0.055
78,623.0,1.2e-05,2882,4850,2833,4836,96,35,2.743,232.7,0.561,0.145
79,556.0,1e-05,3213,4846,3161,4829,107,38,2.816,246.7,0.602,0.115
80,777.0,1.5e-05,1214,4876,1162,4824,107,112,0.955,378.6,0.309,0.068
81,892.5,1.7e-05,1598,4834,1535,4816,128,34,3.765,358.1,0.295,0.087
82,843.0,1.6e-05,3769,4825,3702,4811,137,39,3.513,312.8,0.517,0.108
83,1196.0,2.2e-05,1804,4851,1731,4800,128,106,1.208,454.0,0.298,0.073
84,1752.0,3.3e-05,1461,4856,1407,4799,114,116,0.983,709.8,0.282,0.044
85,1033.0,1.9e-05,1906,4838,1848,4798,115,85,1.353,309.3,0.767,0.136
86,2203.5,4.1e-05,2954,4816,2759,4795,396,56,7.071,935.6,0.179,0.032
87,793.5,1.5e-05,5556,4842,5537,4792,40,109,0.367,262.7,0.676,0.144
88,515.0,1e-05,1741,4804,1698,4784,85,31,2.742,216.3,0.421,0.138
89,654.0,1.2e-05,2605,4809,2552,4777,104,69,1.507,274.5,0.606,0.109
90,567.0,1.1e-05,4640,4795,4615,4776,55,38,1.447,187.6,0.476,0.202
91,562.0,1e-05,1117,4808,1078,4773,77,67,1.149,246.4,0.428,0.116
92,1160.5,2.2e-05,5369,4857,5325,4763,110,194,0.567,497.1,0.363,0.059
93,632.0,1.2e-05,1415,4782,1361,4760,94,39,2.41,235.6,0.354,0.143
94,595.5,1.1e-05,5795,4808,5787,4754,16,114,0.14,250.1,0.648,0.12
95,585.0,1.1e-05,7187,4766,7118,4750,128,35,3.657,302.3,0.421,0.08
96,531.0,1e-05,1998,4774,1967,4748,69,49,1.408,181.6,0.768,0.202
97,2289.0,4.3e-05,2683,4773,2600,4740,220,103,2.136,1059.7,0.161,0.026
98,2090.0,3.9e-05,1288,4782,1226,4730,109,88,1.239,556.5,0.432,0.085
99,817.0,1.5e-05,1382,4745,1333,4727,94,36,2.611,287.9,0.37,0.124
100,527.0,1e-05,5589,4760,5573,4725,38,69,0.551,182.2,0.649,0.2
101,599.0,1.1e-05,3906,4773,3881,4724,61,97,0.629,272.6,0.37,0.101
102,855.0,1.6e-05,1128,4770,1073,4724,100,97,1.031,451.4,0.238,0.053
103,767.5,1.4e-05,2482,4745,2416,4716,132,61,2.164,332.6,0.459,0.087
104,1383.5,2.6e-05,5175,4738,5064,4713,224,40,5.6,510.6,0.277,0.067
105,1421.5,2.7e-05,1522,4765,1467,4710,118,89,1.326,566.3,0.289,0.056
106,638.0,1.2e-05,1997,4723,1944,4700,108,51,2.118,264.1,0.533,0.115
107,521.5,1e-05,1333,4714,1291,4696,82,34,2.412,247.9,0.373,0.107
108,903.0,1.7e-05,1244,4697,1215,4680,49,33,1.485,136.7,0.907,0.607
109,819.0,1.5e-05,7496,4730,7488,4669,24,123,0.195,294.0,0.498,0.119
110,619.5,1.2e-05,2553,4712,2545,4664,19,105,0.181,240.6,0.62,0.134
111,570.5,1.1e-05,2753,4690,2731,4662,39,56,0.696,221.4,0.473,0.146
112,655.5,1.2e-05,7613,4680,7559,4655,109,50,2.18,261.9,0.678,0.12
113,1020.5,1.9e-05,6647,4719,6602,4652,98,133,0.737,366.5,0.563,0.095
114,1234.0,2.3e-05,4077,4733,4014,4647,125,172,0.727,467.8,0.517,0.071
115,644.5,1.2e-05,6893,4664,6835,4643,126,38,3.316,307.3,0.403,0.086
116,665.5,1.2e-05,2104,4674,2051,4641,121,60,2.017,297.0,0.585,0.095
117,1995.5,3.7e-05,1635,4691,1582,4638,129,140,0.921,672.8,0.227,0.055
118,664.5,1.2e-05,1441,4655,1392,4637,92,32,2.875,222.8,0.509,0.168
119,1830.0,3.4e-05,5215,4680,5073,4636,234,96,2.438,739.8,0.133,0.042
